"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
,"051_FV7_C016_NI527","13 min.","Arquitectures del discurs",,527,,"Babuin, digitalització (gener 2011)","VET Facilities",,"Pratibha Parmar","si","1/1","VHS","color","Sari Red"
"2005",,"00:10:35","Entusiasme",,835,"Publicat sota llicència CC By-Sa",,,,"Neil Cummings, Marysia Lewandowska, E. Simpson, B. White","si",,"DVD","b/n","Screen Tests 1/4"
,"042_FV7_C016_NI302","13'53 min","Renée Green: Ombres i senyals",,302,,"Babuin, digitalització (gener 2011)",,"Bona","Renée Green","si","1/1","VHS Pal","color","Secession"
"1977",,,"El sueño del publico: Teresa Hak kyung Cha","Reveille",605,,,,,"Teresa Hak kyung Cha","sonido. voz de la artista","1","cd-r  audio",,"Seduction ( Enanched )."
"2000 - 2005",,,"Registres i Hàbits. Màquina de temps / imatges d´espai",,656,,,,,"Yael Bartana",,,"DVD",,"Selected Works, 2000 - 2005: Siren´s Songs, 2005; Wild Seeds, 2005; Odds and Ends, 2005; You Could Be Lucky, 2004; Low Relief II, 2004; Short Memory, 2004; When Adar Enters, 2003; Ad De´lo Yoda, 2003; Freedom Border, 2003; Kings of the Hill, 2003; Trembling Time, 2001; Tuning, 2001; Disembodying the National Army Tune, 2001; Profile, 2000
"
"1950",,"1 hora  4 segons","Merce Cunningham",,437,"es repeteix quatre cops",,"Fundació Antoni Tàpies","bona","Fundació Antoni Tàpies","sí",,"VHS PAL","color","Septet (1953); Minutiae (1954); Antic Meet (1958); Night Wandering (1958); Changeling (1957)."
,"046_FV7_C016_NI384","30 min.","Matt Mullican",,384,"còpia per a exposició donada per Serralves","Babuin, digitalització (gener 2011)","Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","1/2","VHS","color","Shirts on/off"
,,"30 min.","Matt Mullican",,385,"còpia per a exposició donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","2/2","VHS","color","Shirts on/off"
"2000-2001",,"60 min. loop","Matt Mullican. Més detalls d'un univers imaginari","Shirts on/off",515,"còpia utilitzada per a l'exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Shirts on/off"
,"024_FV7_C016_NI440","10 minuts  14 segons","Jana Sterbak",,440,"sense editar","Babuin, digitalització (gener 2011)",,"bona","Fundació Antoni Tàpies, UPC","no n'hi ha ","còpia","VHS","color","Silla Autónoma"
"1974; 1976; 1976; 1978; 1983; 1982",,,"Sanja Iveković. Alerta general. Obres 1974-2007",,643,,,,,"Sanja Iveković",,,"DVD",,"Slatko Nasilje (Sweet Violence), 1974, video, 5 min 59 s 
Rekonstrukcije 1952-1976 (Reconstructions 1952-1976)
1976, video, b/w, sound, 8 min 37 s
Monument, 1976, video, b/w, sound, 4 min 23 s
Make Up – Make Down, 1978, video, colour, 9 min 20 s
No end (with Dalibor Martinis), 1983, Video, colour, sound, 7 min 37 s
Osobni rezovi (Personal Cuts), 1982, video, colour, sound, 3 min 
42 s
"
"1974; 1974; 1976; 1976; 1976; 1976",,,"Sanja Iveković. Alerta general. Obres 1974-2007",,642,,,,,"Sanja Iveković",,,"DVD",,"Slatko Nasilje (Sweet Violence), 1974, video, 6 min 5 s
Gledanje (Looking At), 1974, Video, b/w, sound, 10 min 3 s
Rekonstrukcije 1952-1976 (Reconstructions 1952-1976)
1976, video, b/w, sound, 8 min 37 s
Instrukcije br. 1 (Instructions No. 1), 1976, video, b/w, sound, 6 min 3 s
Monument, 1976, video, b/w, sound, 4 min 23 s
Make Up – Make Down, 1976, video, b/w, 9 min 20 s
"
"1952/53-1997",,"40 min","Renée Green: Ombres i senyals",,290,"Cinta utilitzada durant l'exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,"bona","Renée Green","muda","1/2","VHS Pal","color","Slides of Korea (Korea Slides)"
"1952/53-1997","042_FV7_C016_NI291","40 min","Renée Green: Ombres i senyals",,291,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,"bona","Renée Green","muda","2/2","VHS Pal","color","Slides of Korea (Korea Slides)"
"1993",,"4'15 min","Chris Marker","auditori (cicle de cinema)",177,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)",,,"Chris Marker","bo","còpia 1/1","VHS","color","Slon-tango"
,"044_FV7_C016_NI365","36 min.","Rainer Oldendorf","Smoke Rings",365,"còpia per a exposició","Babuin, digitalització (gener 2011)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/2","VHS ","color","Smoke Rings. Dap Internet 1 + 2"
,,"36 min.","Rainer Oldendorf","Smoke Rings",366,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","2/2","VHS ","color","Smoke Rings. Dap Internet 1 + 2"
"1970",,"00:18:30 (19 min)","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",726,"14-19 de maig de 2008",,,,"Grup Medvedkine de Sochaux","V.O. Subtitulada en castellà","10.3","DVD b/n"," PAL, 4/3. Stereo","Sochaux, 11 juin 68."
"2004
",,"28 min 40 sec.","Tour-ismes. La derrota de la dissensió",,579,"right screen",,,"buena","Multiplicity","con sonido.","1/2","dvd","color","SolidSea-case04: (M)RE-Tourism"
"2004
",,"28 min. 40 sec.","Tour-ismes. La derrota de la dissensió",,580,"center screen",,,"buena","Multiplicity","con sonido","1","dvd","color","SolidSea-case04: (M)RE-Tourism"
"2004
",,"28 min y 40 sec","Tour-ismes. La derrota de la dissensió","Central",581,"left screen",,,"buena","Multiplicity","con sonido",,"dvd","color","SolidSea-case04: (M)RE-Tourism"
"2004",,"28 min 40 sec.","Tour-ismes. La derrota de la dissensió","Lateral derecho",583,,,"Fundació Antoni Tàpies","buena","Multiplicity","con sonido","2/2","dvd","color","SolidSea-case04: (M)RE-Tourism"
"2004
",,"9 min.","Tour-ismes. La derrota de la dissensió","Lateral izquierdo",582,"Textos en español y inglés.",,,"buena","Multiplicity","sin sonido","1","dvd","color","SolidSea-case04: (M)RE-Tourism (textos)"
"1999","042_FV7_C016_NI292","38 min","Renée Green: Ombres i senyals",,292,"Cinta utilitzada durant l'exposició","Babuin, digitalització (gener 2011)",,"bona","Renée Green","si","1/4","VHS","color","Some Chance Operations"
"1999",,"38 min","Renée Green: Ombres i senyals",,293,"Cinta sense subtítols",,,"bona","Renée Green","si","2/4","VHS","Color","Some Chance Operations"
"1999",,"38 min","Renée Green: Ombres i senyals",,294,"Cinta nova no utilitzada",,,"bona","Renée Green","si","3/4","VHS ","color","Some Chance Operations"
"1999",,"38 min
","Renée Green: Ombres i senyals",,296,"Copia nova no utilitzada",,,"bona","Renée Green","si","4/4","VHS","color","Some Chance Operations"
"2000",,"38 min","Renée Green: Ombres i senyals",,295,"Cinta nova no utilitzada",,,"bona","Renée Green","si","4/4","VHS","color","Some Chance Operations"
"2000",,"72'56 min","Renée Green: Ombres i senyals",,301,,,,"Bona","Renée Green","si","1/1","CD",,"Some Chance Operations"
"2000",,"36 min52 s
x","Renée Green: Ombres i senyals",,301,,,,,"Renée Green","si",,"Betacam
","PAL","Some Chance Operations"
,,"00:18:00","Hélio Oiticica",,807,,,,,,"so, anglès, subtítols en portuguès",,"VHS","color","Somos o molde, a você cabe o sopro (Lygia Clark, Hélio Oiticica, sala especial do 90 Salão Nacional de Artes Plásticas)."
,,"00:18:00","Lygia Clark",,760,"No tenim informació. Pendent de visualitzar. Projecte de Suely Rolnik.","Babuin, digitalització (desembre 2010)",,,,,,"U-Matic",,"Somos o molde, a você cabe o sopro."
"1970",,"58 min. 14 seg.","Merce Cunningham","Video D Studio",438,"es repeteix dues vegades",,"Fundació Antoni Tàpies","bona","Fundació Antoni Tàpies","mono",,"VHS PAL","color","Sounddance (1970); Solo (1976); Torse (1976); Travelogue (1977); Exchange (1978)"
"1982",,"00:11:46","Tour-ismes. La derrota de la dissensió",,774,"Film projectat a l'exposició Tour-ismes. La derrota de la dissensió",,,"Bona. Còpia","Lisl Ponger","No",,"DVD","Color","Souvenirs"
"2001","047_FV7_C017_NI509","10 seg.","Eulàlia Valldosera",,509,,"Babuin, digitalització (gener 2011)","BABUIN",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Spot Escombrada"
"2001","047_FV7_C017_NI510","10 seg.","Eulàlia Valldosera",,510,,,"BABUIN",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Spot Escombrada"
"1996",,"60 min","Renée Green: Ombres i senyals",,280,"Cinta utilitzada durant l'exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,"bona","Renée Green","si","1/2","VHS Pal ","b/n","Super 8 Footage"
"1996","042_FV7_C016_NI281","60 min","Renée Green: Ombres i senyals",,281,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,"bona","Renée Green","si","2/2","VHS","b/n","Super 8 Footage"
"1959",,"00:20:00 (20 min)","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",710,"14-19 de maig de 2008",,,,"Guy Debord","V.O. Subtitulada en castellà","2.1","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Sur le passage de quelques personnes à travers une assez courte unité de temps."
,,"5 minuts  53 segons","Suspension Packing System","Suspension Packing System",459,,,,,,,,"VHS",,"Suspension Packing System"
"1987-2001",,"16 min 30 s","Sanja Iveković. Alerta general. Obres 1974-2007",,640,,,,,"Sanja Iveković","si",,"DVD, video, sound, b/w, autoplay, looped
","Videoinstallation","Svjetionik (Lighthouse)"
"1973; 1974; 1979; 1985; 1970; 1971;1974; 1960
",,,"Entusiasme","archive lounge part 3",620,,,"Neil Cummings y Marysia Lewandowska","buena","ver campo titulo","con sonido","1","dvd","color y bñanco-negro","T. Wudzki, ""Theatre"" 1973; T. Wudzki, ""A look"" 1974; P. Majdrowicz ""gaze"" 1979; P. Majdrowicz ""Anxieties""  1985; R. Halawacz ""ole"" 1970s; Z. Iwaszuk, J. Ridan ""The village of Wysoka"" 1971; Z. Iwaszuk, J. Ridan ""In order to be"" 1974; SAKF Jupiter ""The chocolate factory"" 1960s.   "
"1903, 1904",,"1h 10min","Antoni Tàpies. Els llocs de l'art",,739,"Selecció feta per Miquel Tàpies de les pel·lícules d'Antoni Tàpies en Súper-8mm",,"The Library of Congress","Dolenta","Georges Méliès","NO",,"DVD","b/n","TALES OF TERROR

1. ""The Melomaniac"" (Le melomane), 1903
2. ""The Monster"", 1903
3. ""The Terrible Turkish Executioner"", 1904

THE MAGIC OF MÉLIÈS

4. ""Jupiter's Thunderbolts"" (Le tonnerre de Jupiter), 1903
5. ""The Mermaid"", 1904
6. ""The Magic Lantern"", 1903

LA COMEDIE ET MAGIQUE DE MÉLIÈS

7. ""The Witch's Revenge""
8. ""The Inn Where No Man Rests"" (L'Auberge du bon repos), 1903

LA FANTASIE DE MÉLIÈS

9. ""Extraordinary Illusions"" (Illusion funambulesques), 1903
10. ""The Enchanted Well"" (Le puits fantastique), 1903
11. ""The Apparition"", 1903

12, 13 LA COMEDIE ET MAGIQUE DE MÉLIÈS (repetides)
14, 15, 16 LA FANTASIE DE MÉLIÈS (repetides)
"
"1998","054_FV7_C016_NI803","01:10:00","Representacions àrabs contemporànies. Beirut / Líban",,803,,"Babuin, digitalització (gener 2011)","Agloul et Hazar Productions",,"Mohammad Soueid","V.O. en àrab, subtítols en francès",,"VHS Loop","color","Tango of yearning (Le tango de l'Espoir)"
"1955","014_FV7_C016_NI14","21 minuts","Brassaï","Auditori",14,"Premi Cannes 1955","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","Bona","Brassaï","Muda amb música","còpia 1","VHS  (passat de 16 mm)","Blanc i negre","Tant qu'il y aura des Bêtes"
"1955",,"21 minuts","Brassaï (14 setembre - 7 novembre 1993)","Auditori",15,"Premi Cannes 1955","CEDIT A LA BIBLIOTECA (16/1/2001)",,"Bona","Brassaï","Muda amb música","còpia 2","VHS  (passat de 16 mm)","Blanc i negre","Tant qu'il y aura des Bêtes"
"1955",,"21 minuts","INSIDEOUT: jardí del cambalache","Auditori",16,"Premi Cannes 1955",,,"Bona","Brassaï","Muda amb música","còpia 3","VHS (passat de 16 mm)","Blanc i negre","Tant qu'il y aura des Bêtes"
"1955",,"21 minuts","Brassaï (14 setembre - 7 novembre 1993)","Auditori",17,"Premi Cannes 1955. Enviada Brassaï 10.12.93",,,"Bona","Brassaï","Muda amb música","original","Beta  (passat de 16 mm)","Blanc i negre","Tant qu'il y aura des Bêtes"
"1955","014_FV7_C016_NI799",,"Brassaï (14 setembre - 7 novembre 1993)","Auditori",799,,"Babuin, digitalització (gener 2011)",,,"Brassaï","sí",,"VHS","b/n","Tant qu'il y aura des Bêtes
Chambre noir"
"1990",,"57'","Tàpies","auditori",19,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
còpia usada",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","català","còpia 1","VHS","color","Tàpies"
"1990",,"57 '","Tàpies","auditori",20,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","català","còpia 2","VHS","color","Tàpies"
"1990",,"57 '","Tàpies","auditori",21,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","català","còpia 3","VHS","color","Tàpies"
"1990",,"57 '","Tàpies","auditori",22,"còpia de l`original de la biblioteca.
l'anglesa és doblada a sobre de la parla, la catalana és original.
còpia usada",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès","còpia 1","VHS","color","Tàpies"
"1990",,"57'","Tàpies","auditori",23,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès","còpia 2","VHS","color","Tàpies"
"1990",,"57'","Tàpies","auditori",24,"còpia de l`original de la biblioteca.
L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès","còpia 3","VHS","color","Tàpies"
"1990",,"57'' 23'","Tàpies","auditori",63,"L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","català","còpia 1","VHS PAL","color","Tàpies"
"1990",,"57'","Tàpies","auditori",64,"Sense entrevista de Tàpies introductòria.",,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","català","còpia 2","VHS pal","color","Tàpies"
"1990",,"57'","Tàpies","auditori",65,"L'anglesa és doblada a sobre de la parla, la catalana és original.
",,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","català","còpia 3","VHS PAL","color","Tàpies"
"1990",,"57 ' + 57'","Tàpies","auditori",141,"gravades les dues versions juntes (anglesa + catalana). L'anglesa és doblada a sobre de la parla, la catalana és original.
Còpia feta de l'original de la biblioteca",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès + català","còpia 1","VHS pal","color","Tàpies"
"1990",,"57' + 57'","Tàpies","auditori",142,"gravades les dues versions juntes (anglesa + catalana). L'anglesa és doblada a sobre de la parla, la catalana és original.
Còpia feta de l'original de la biblioteca",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès + català","còpia 2","VHS pal","color","Tàpies"
"1990",,"57'+57'","Tàpies","auditori",167,"gravades les dues versions juntes (anglesa + catalana). L'anglesa és doblada a sobre de la parla, la catalana és original.
Còpia feta de l'original de la biblioteca
",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès + català","còpia 3","VHS pal","color","Tàpies"
"1990",,"57'","Tàpies","auditori",163,"L'anglesa és doblada a sobre de la parla, la catalana és original.
Original entregat per la biblioteca al juliol de 1998",,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","català","original","35 mm","color","Tàpies"
"1990",,"57' + 57'","Tàpies","auditori",166,"gravades les dues versions juntes (anglesa + catalana). L'anglesa és doblada a sobre de la parla, la catalana és original.
Còpia feta de l'original de la biblioteca",,"Omnibus  BBC i TVE Catalunya","bona","Gregory Rood","anglès + català","còpia 2","VHS pal","color","Tàpies"
"1990",,"57'","Tàpies","auditori",490,,,"Omnibus  BBC ","bona","Gregory Rood","anglès","1/2","VHS","color","Tàpies"
"1990",,"57'","Tàpies","auditori",491,,,"Omnibus  BBC ","bona","Gregory Rood","anglès","2/2","VHS","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",660,,,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 1/6","DVD","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",661,,"Núria Homs, servei educatiu.","Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 2/6","DVD","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",662,,"Núria Homs, servei educatiu.","Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 3/6","DVD","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",663,,"Núria Homs, servei educatiu.","Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 4/6","DVD","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",664,,"Núria Homs, servei educatiu.","Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 5/6","DVD","color","Tàpies"
"1990",,"58'24"" + 58'24''","Tàpies","auditori",665,,"Núria Homs, servei educatiu.","Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès, sense subtítols","còpia 6/6","DVD","color","Tàpies"
"1990",,"57'19''","Tàpies","auditori",666,"original",,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","V.O. català, subtitulada en castellà",,"DVD","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",667,,,"Omnibus BBC i TVE Catalunya",,"Gregory Rood","V.O. català, sense subtítols + Doblada a l'anglès, sense subtítols",,"DVD","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",699,"MÀSTER",,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (màster)","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",700,"Loop còpia per reproducció auditori
còpia feta al 2008",,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (loop)","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",701,"Loop còpia per reproducció auditori
còpia feta al 2008",,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (loop)","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",702,"Loop còpia per reproducció auditori
còpia feta al 2008",,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (loop)","color","Tàpies"
"1990",,"58'24'' + 58'24''","Tàpies","auditori",703,"Loop còpia per reproducció auditori
còpia feta al 2008",,"Omnibus BBC i TVE Catalunya","bona","Gregory Rood","V.O. català + Doblada a l'anglès. Subtítols en castellà",,"DVD (loop)","color","Tàpies"
"2007",,"13 min 08 s","Tàpies. Espoo Museum of Modern Art (EMMA)",,659,"Original a biblioteca. Disposem de 3 còpies (2 de suguretat i una per arxiu d'Amics Patrocinadors-AG-)
Obsequi de Hannu Hilden",,"Art Partners/Kuvasto/VEGAP","Bona","Alasin Media Oy, Tampere, Finland","V.O. sub. en anglès",,"DVD","Color","Tàpies. Espoo Museum of Modern Art. 6.6 - 26.8.2007"
"2004",,"01:04:00",,,528,"TVC cede gratuitamente el documental Te de Tàpies a la Fundació Antoni Tàpies para ser exhibido en exposiciones, siempre que se exhiba completo, incluyendo los títulos de crédito, y conste la colaboración de Televisió de Catalunya en los catálogos y folletos de las mismas.","SF per Lissone l'1 d'abril de 2005","TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció  Carolina Tubau","catalán con subtítulos en castellano","1/6","DVD","Color","Te de Tàpies"
"2004",,"01:04:00",,,529,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","català amb subtítols en castellà","2/6","DVD","Color","Te de Tàpies"
"2004",,"01:04:00",,,530,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","català amb subtítols en castellà","3/6","DVD","Color","Te de Tàpies"
"2004",,"01:04:00",,,531,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","català amb subtítols en anglès","4/6","DVD","Color","Te de Tàpies"
"2004",,"01:04:00",,,532,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","català amb subtítols en anglès","5/6","DVD","Color","Te de Tàpies"
"2004",,"01:04:00",,,533,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","català amb subtítols en anglès","6/6","DVD","Color","Te de Tàpies"
"2004",,"02:08:00",,,800,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.
Còpia per exposició.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","V.O. en català. Subtítols en castellà i en anglès",,"DVD Loop","color","Te de Tàpies"
"2004",,"02:08:00",,,801,"TVC cedeix gratuïtament el documental per ser exhibit en  exposicions, sempre i quan s'exhibeixi complert, amb els títols de crèdit inclosos i es faci constar al col·laboració de Televisió de Catalunya en els catàlegs i fulletons de les mateixes.
Còpia per exposició.",,"TVC (Televisió de Catalunya)","bona","Ramon Millà                 Direcció Carolina Tubau","V.O. en català. Subtítols en castellà i en anglès",,"DVD Loop","color","Te de Tàpies"
,,"1 hora  50 minuts  4 segons","L’any 1967: l’objecte d’art i la cosa pública",,458,"està en portuguès",,"Zelito Viana",,"Glauber Rocha","mono",,"VHS","blanc i negre 
","Terra em Transe"
,"017_FV7_C016_NI495","1 hora 50 min.","L’any 1967: l’objecte d’art i la cosa pública",,495,,"Babuin, digitalització (gener 2011)","Zelito Viana","dolenta","Glauber Rocha","si","1/1","VHS","b/n","Terra em transe"
"2001","049_FV7_C016_NI484","90 min.","INSIDEOUT: jardí del cambalache",,484,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Terrisseria"
"2001","049_FV7_C016_NI481","60 min.","INSIDEOUT: jardí del cambalache",,481,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Terrisseria per la terrassa; Llavors per l'eternitat; Llavors al museu"
,"010_FV9_C016_NI09","70 min. Seqüències  de 2 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Xenobàcul",9,"vídeo que va dins el xenobàcul",,,"regular
",,,"original","8 mm.","color","The Allien Staff"
,,"70 min. Seqüències  de 2 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Xenobàcul",10,"vídeo que va dins el xenobàcul",,,"regular",,,"còpia 1","8 mm.","color","The Allien Staff"
,,"70 min. Seqüències  de 2 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Xenobàcul ",11,"vídeo que va dins el xenobàcul","Mary Sabbatino",,"regular",,,"còpia 2","8 mm.","color","The Allien Staff"
,,"70 min. Seqüències  de 2 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Xenobàcul ",12,"vídeo que va dins el xenobàcul",,,"regular",,,"còpia 3","8 mm.","color","The Allien Staff"
,,"70 min. Seqüències  de 2 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Xenobàcul ",13,"vídeo que va dins el xenobàcul",,,"regular",,,"còpia 4","8 mm.","color","The Allien Staff"
"2004 a 2006",,"103'47""","Representacions àrabs contemporànies. L'equació iraquiana",,677,"ubicació: despatx Miquel, arxiu RAC",,,,"Salam Pax","V.O. àrab, anglès. Subtítols en castellà.",,"DVD","Documental","The Baghdad Blogger:
The Baghdad Blogger, 2004 - 50'30""
Voting Amidst Violence, 2005 - 13'05""
Constitution, 2005 - 15'00""
Justice and Reonciliation, 2005 - 12'41""
Three Years On, 2006 - 12'31"""
,,"29 min.","Matt Mullican",,388,"còpia per a exposició donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","1/2","VHS","color","The computer project"
,,"29 min.","Matt Mullican",,389,"còpia per a exposició donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","2/2","VHS","color","The computer project"
"2000-2001","046_FV7_C016_NI512","30 min.","Matt Mullican. Més detalls d'un univers imaginari","The Computer Project",512,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","The Computer Project"
"1983","036_FV7_C016_NI157","53'","Dan Graham","Interior design for space showing videos",157,"còpia feta de l'original de Glòria Moure","Babuin, digitalització (gener 2011)",,,"Dan Graham","si","còpia única","VHS","color","The Fall perverted by language bis"
"2004",,"DVD, color, so, 9 min 51 s
V.O. sub. castellà","Registres i Hàbits. Màquina de temps / imatges d´espai",,626,,,,,"Jeanne Faust",,,"DVD",,"The Mansion  (La mansió)"
"2004",,"DVD, color, so, 9 min 51 s
V.O. sub. castellà","Registres i Hàbits. Màquina de temps / imatges d´espai",,627,,,,,"Jeanne Faust",,,"DVD",,"The Mansion  (La mansió)"
"2004",,"DVD, color, so, 9 min 51 s
V.O. sub. castellà","Registres i Hàbits. Màquina de temps / imatges d´espai",,628,,,,,"Jeanne Faust",,,"DVD",,"The Mansion  (La mansió)"
"2004 / 2005",,"DVD, color, so, 9 min 51 s
V.O.
DVD, color, so, 9 min
V.O.","Registres i Hàbits. Màquina de temps / imatges d´espai",,625,,,,,"Jeanne Faust",,,"DVD",,"The Mansion  (La mansió), 2004
IV, 2005"
